match_id,team_in_possession,baseline_hull_area_m2,baseline_n_frames
3942819,Netherlands,527.3597848748503,1290
3942819,England,504.54541531381494,1650
3943043,Spain,482.992981641082,1769
3943043,England,470.87637865635287,1079
3942752,Spain,385.4802207236234,1603
3942752,France,356.1885392846265,1224
3942382,Netherlands,443.8103030901203,1590
3942382,Turkey,498.8894074785317,1236
3942349,Portugal,520.7111029213612,2659
3942349,France,501.07091874458195,1806
3930180,Netherlands,509.29826097498517,1365
3930180,Austria,544.9163896286451,1336
3930171,Denmark,491.1161198555089,1797
3930171,England,468.67785788637303,1679
3942227,England,494.47780329873785,2188
3942227,Switzerland,490.75401886330593,2094
3942226,Spain,387.9412176332418,1951
3942226,Germany,375.68817375048104,1977
3938645,Ukraine,408.99333003286597,1347
3938645,Belgium,378.94513934103014,1777
3930184,Czech Republic,469.69746818147695,869
3930184,Turkey,454.272341183934,1547
3941022,Austria,467.7787896581708,1800
3941022,Turkey,483.4595579725012,1295
3941021,Romania,307.3743668731118,959
3941021,Netherlands,299.32819415388474,1547
3941020,Portugal,522.7224463170859,2403
3941020,Slovenia,495.83675060101706,1247
3941019,France,496.0684167426736,1942
3941019,Belgium,458.2712774256439,1519
3941018,Spain,508.7013597812896,2539
3941018,Georgia,509.0972274379803,1037
3941017,England,460.9545911369672,2456
3941017,Slovakia,511.3469019768778,1630
3930182,Denmark,317.13654688048524,1778
3930182,Serbia,321.49586495075096,1474
3930179,Albania,516.3274402684309,1378
3930179,Spain,514.7157125594861,1913
3940983,Germany,476.5539424418092,1740
3940983,Denmark,475.628643004992,1428
3940878,Switzerland,519.698486038761,1668
3940878,Italy,484.2915838774069,1563
3930177,Scotland,375.7984821950918,1633
3930177,Hungary,395.94516570259884,1375
3930173,Netherlands,581.8174609970785,1168
3930173,France,531.9761585193004,1885
3930172,Spain,507.152374669637,1869
3930172,Italy,503.0502077797097,1451
3930167,Croatia,452.5733383067395,2070
3930167,Albania,469.7796588529025,1221
3930168,Germany,389.651787955466,2321
3930168,Hungary,400.61987871150865,1104
3930165,Austria,475.484023288413,1745
3930165,France,449.1961676691831,1553
3930164,Belgium,501.02964420158895,1837
3930164,Slovakia,556.4365422121397,1315
3930161,Italy,482.0099439982828,2305
3930161,Albania,577.5046451851666,1151
3938637,Poland,520.6993738941167,1057
3938637,Netherlands,524.205945050312,1861
3938640,Slovakia,478.8988693433879,1669
3938640,Ukraine,457.458393116891,1413
3938642,Georgia,540.0926746470792,1180
3938642,Czech Republic,518.2711386781448,1666
3938639,Turkey,440.9146270735188,1808
3938639,Georgia,450.9848055868013,1441
3938641,Poland,532.6394601997096,1345
3938641,Austria,556.7873907465637,1598
3938644,Georgia,465.7486670113862,960
3938644,Portugal,423.58632606772267,2115
3938643,France,455.33480444365296,1748
3938643,Poland,533.7861131403401,1405
3938638,Romania,411.0247583064229,942
3938638,Ukraine,396.7268152523421,1831
3930183,Slovakia,583.7364166099544,1383
3930183,Romania,544.0038292221521,1134
3930181,England,519.8669685134751,2222
3930181,Slovenia,590.3258307836893,991
3930178,Croatia,556.8492376400487,1645
3930178,Italy,519.1183092272105,1754
3930176,Switzerland,516.8206892682182,1220
3930176,Germany,472.5011022118779,2096
3930175,Belgium,544.146885530887,1497
3930175,Romania,521.4204400675882,1268
3930174,Turkey,580.85533089904,1428
3930174,Portugal,564.9621449733917,1798
3930170,Slovenia,333.34648868886865,1263
3930170,Serbia,316.12331326609916,1693
3930169,Scotland,517.818242902553,1326
3930169,Switzerland,522.8158616121212,1485
3930166,Portugal,513.9673463873568,2086
3930166,Czech Republic,521.1114662396876,874
3930163,Serbia,494.03151510908225,1542
3930163,England,491.0067184616168,1733
3930162,Slovenia,379.4981333953634,1107
3930162,Denmark,379.8683907378443,1972
3930160,Spain,602.2539473474293,1488
3930160,Croatia,594.541248380989,1741
3930159,Hungary,480.17393211783076,1452
3930159,Switzerland,496.6500074316864,1554
3930158,Germany,276.3263889198322,2123
3930158,Scotland,326.48922307516006,891
